nsys profile -t cuda,nvtx --stats=true

NOTICE: Existing SQLite export found: report2.sqlite
        It is assumed file was previously exported from: report2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report2.sqlite] with [/opt/nvidia/nsight-systems/2024.2.1/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)   Style                                                   Range                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  --------  ----------------------------------------------------------------------------------------------------
     44.5       5352773160       1631  3281896.5  2937714.0   2596162  159308312    5159575.3  PushPop   TensorRT:ExecutionContext::enqueue                                                                  
      5.3        636386105      79919     7962.9     6837.0      5315     544660       6181.6  StartEnd  myelin-exec:myelinGraphExecute                                                                      
      1.6        193734007       1631   118782.3    17771.0     14744  114091661    2978568.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/attention/PLUGIN_V2_GPTAttention_0                   
      1.1        131258688     160265      819.0      756.0       452     437282       1427.4  StartEnd  myelin-exec:myelinTensorGetMemory                                                                   
      1.0        117685202         49  2401738.8  2387763.0   2319903    2887762      90843.1  StartEnd  myelinGraphDeserializeBinary                                                                        
      0.9        114010971       1631    69902.5    22208.0     17258   55471797    1451628.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.7         83090081       1631    50944.3    14929.0     12737   56643342    1402179.1  PushPop   TensorRT:BloomForCausalLM/lm_head/PLUGIN_V2_Gemm_0                                                  
      0.6         67783007      79919      848.1      748.0       491     413258       2047.1  StartEnd  myelin-exec:myelinGraphUnload                                                                       
      0.5         55872716       1631    34256.7    32443.0     22676     103665       8753.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/vocab_embedding/CONSTANT_0...BloomForCausalLM/tr…
      0.4         47517786      79919      594.6      495.0       255     410880       1674.2  StartEnd  myelin-exec:myelinGraphLoad                                                                         
      0.4         46219548         49   943256.1   890590.0    839046    2377485     223888.6  StartEnd  myelin-exec:myelinGraphLoadPersistent                                                               
      0.4         43822763       1631    26868.6    24836.0     20223     102176       6556.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/ln_f/CONSTANT_0 + BloomForCausalLM/transformer/l…
      0.3         35598571       1631    21826.2    19693.0     16137     103923       6256.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/0/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         35139238      79919      439.7      351.0       213      25475        595.6  StartEnd  myelin-exec:myelinTensorGetOutputMemoryBatch                                                        
      0.3         34126984      79919      427.0      377.0       230      37457        440.4  StartEnd  myelin-exec:myelinTensorGetInputMemoryBatch                                                         
      0.3         33764487       1631    20701.7    18540.0     15044     504055      13125.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/1/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         32427638       1631    19882.1    17879.0     14769     430965      11411.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/1/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         32235723       1631    19764.4    17779.0     14768     193367       7143.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/2/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         32057193       1631    19654.9    17624.0     14270     565396      14576.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/8/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         32049034       1631    19649.9    17551.0     14255     361204      10246.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/5/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31949552       1631    19588.9    17580.0     14397     174573       7214.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/3/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31824348       1631    19512.2    17461.0     14128     531061      13737.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/7/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31805879       1631    19500.8    17402.0     14106     434167      12300.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/6/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31690687       1631    19430.2    17869.0     14732     115913       5257.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/7/input_layernorm/CONSTANT_0 + BloomForCa…
