
NOTICE: Existing SQLite export found: report1.sqlite
        It is assumed file was previously exported from: report1.nsys-rep
        Consider using --force-export=true if needed.

Processing [report1.sqlite] with [/opt/nvidia/nsight-systems/2024.2.1/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)   Style                                                   Range                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  --------  ----------------------------------------------------------------------------------------------------
     44.4       4973562914       1631  3049394.8  2774029.0   2440219  181891327    5345145.3  PushPop   TensorRT:ExecutionContext::enqueue                                                                  
      5.3        599020233      79919     7495.3     6756.0      5368     352106       4774.3  StartEnd  myelin-exec:myelinGraphExecute                                                                      
      1.6        174305547       1631   106870.4    16692.0     13950   99466438    2624116.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/attention/PLUGIN_V2_GPTAttention_0                   
      1.0        116607106     160265      727.6      691.0       429     294007       1425.8  StartEnd  myelin-exec:myelinTensorGetMemory                                                                   
      1.0        112822209         49  2302494.1  2270474.0   2052739    4027458     271016.6  StartEnd  myelinGraphDeserializeBinary                                                                        
      1.0        109011527       1631    66837.2    20049.0     16125   56164728    1456919.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.9        105356836       1631    64596.5    14490.0     12029   79623807    1971253.8  PushPop   TensorRT:BloomForCausalLM/lm_head/PLUGIN_V2_Gemm_0                                                  
      0.5         58426889      79919      731.1      657.0       465     314574       1339.1  StartEnd  myelin-exec:myelinGraphUnload                                                                       
      0.4         48084680       1631    29481.7    27605.0     21025     172334       7537.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/vocab_embedding/CONSTANT_0...BloomForCausalLM/tr…
      0.4         46811243         49   955331.5   894618.0    817463    2419444     237234.2  StartEnd  myelin-exec:myelinGraphLoadPersistent                                                               
      0.4         44327152      79919      554.7      473.0       273     230925       1156.5  StartEnd  myelin-exec:myelinGraphLoad                                                                         
      0.4         42352030       1631    25966.9    24413.0     20503     298425      12082.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/ln_f/CONSTANT_0 + BloomForCausalLM/transformer/l…
      0.3         32532832      79919      407.1      343.0       217     368338       2053.5  StartEnd  myelin-exec:myelinTensorGetInputMemoryBatch                                                         
      0.3         31923063       1631    19572.7    18023.0     15356     120620       5340.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/0/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31082810       1631    19057.5    16769.0     13736     300006      12864.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/14/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         29978495      79919      375.1      325.0       209      27547        428.0  StartEnd  myelin-exec:myelinTensorGetOutputMemoryBatch                                                        
      0.3         29710928       1631    18216.4    16772.0     14235     190665       7053.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/1/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         29396852       1631    18023.8    16490.0     13397     329250      13445.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/22/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         29359820       1631    18001.1    16442.0     13803     298102      13680.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/23/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         29318312       1631    17975.7    16418.0     14115     366840      11012.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/1/post_layernorm/CONSTANT_0 + BloomForCau…
